name,need
Generated Monotone Class,Monotone Classes
Monotone Classes,Sequences
Monotone Classes,Set Operations
Monotone Classes,Subset Systems
Sequences,Direct Products
Sequences,Function Composites
Set Operations,Algebras
Set Operations,Set Intersections
Set Operations,Set Symmetric Differences
Set Operations,Set Unions
Subset Systems,Ordered Pairs
Subset Systems,Set Powers
Direct Products,Natural Families
Direct Products,Natural Order
Function Composites,Functions
Algebras,Operations
Set Intersections,Pair Intersections
Set Symmetric Differences,Set Complements
Set Symmetric Differences,Set Unions
Set Unions,Empty Set
Set Unions,Unordered Pairs
Ordered Pairs,Unordered Triples
Set Powers,Unordered Triples
Natural Families,Families
Natural Families,Natural Numbers
Natural Order,Natural Numbers
Functions,Relations
Operations,Functions
Pair Intersections,Set Specification
Set Complements,Empty Set
Set Complements,Set Differences
Empty Set,Set Specification
Unordered Pairs,Set Specification
Unordered Triples,Pair Unions
Families,Functions
Families,Set Powers
Natural Numbers,Empty Set
Natural Numbers,Set Intersections
Natural Numbers,Set Unions
Relations,Cartesian Products
Set Specification,Set Inclusion
Set Differences,Set Specification
Pair Unions,Set Unions
Cartesian Products,Ordered Pairs
Cartesian Products,Set Powers
Set Inclusion,Definitions
Set Inclusion,Standardized Accounts
Definitions,Objects
Standardized Accounts,Accounts
Accounts,Deductions
Accounts,Quantified Statements
Deductions,Logical Statements
Quantified Statements,Logical Statements
Logical Statements,Statements
Statements,Identities
Statements,Sets
Identities,Names
Sets,Names
Names,Letters
Names,Objects
