name,need
Trees,Graphs
Trees,Set Unions
Graphs,Unordered Pairs
Set Unions,Set Specification
Unordered Pairs,Set Specification
Set Specification,Set Inclusion
Set Inclusion,Empty Set
Empty Set,Set Equality
Set Equality,Identity
Set Equality,Standardized Accounts
Identity,Objects
Standardized Accounts,Accounts
Accounts,Deductions
Accounts,Quantified Statements
Deductions,Logical Statements
Quantified Statements,Logical Statements
Logical Statements,Statements
Statements,Identities
Statements,Sets
Identities,Objects
Sets,Objects
